ID	NAME	TYPE	MASS	VOLUME	ICONPATH
26601904	Polished orange marble (cold)	worldMaterial	27	10	resources_generated/env/voxel/hc/marble-bright-hc/icons/env_marble-bright-hc_icon_orange-cold.png
28832416	Wooden Wardrobe Schematic	none	0	0	resources_generated/elements/recipes/recipe_001/icons/env_recipe_001_icon.png
29004564	Cannon Precision Kinetic Ammo XS Schematic	none	0	0	resources_generated/elements/recipes/recipe_001/icons/env_recipe_001_icon.png
30018128	Rare Heavy Railgun l	object	20875	3054	resources_generated/elements/cannons/cannon-railgun-heavy_001_l/icons/env_cannon-railgun-heavy_001_l_icon.png
30018129	Advanced Heavy Railgun l	object	20875	3054	resources_generated/elements/cannons/cannon-railgun-heavy_001_l/icons/env_cannon-railgun-heavy_001_l_icon.png
30018135	Exotic Heavy Railgun l	object	20875	3054	resources_generated/elements/cannons/cannon-railgun-heavy_001_l/icons/env_cannon-railgun-heavy_001_l_icon.png
30075616	Kinetic Ammo m	object	0	1	
30546913	Painted Yellow Niobium	worldMaterial	85.7	10	resources_generated/iconsLib/materialslib/env_niobium-painted-hc-yellow_icon.png
30685981	Static Core Unit 4096m	object	400	0	resources_generated/elements/core-units/core-unit-static-4096_001/icons/env_core-unit-static-4096_001_icon.png
30902388	Polymers	none	0	0	
31327772	Railgun xs	object	232	36	resources_generated/elements/cannons/cannon-railgun_001_xs/icons/env_cannon-railgun_001_xs_icon.png
31559444	Rare Gas Cylinder XL Schematic	none	0	0	resources_generated/elements/recipes/recipe_001/icons/env_recipe_001_icon.png
31559516	Rare Gas Cylinder XS Schematic	none	0	0	resources_generated/elements/recipes/recipe_001/icons/env_recipe_001_icon.png
31734209	Advanced Gas Cylinder XS Schematic	none	0	0	resources_generated/elements/recipes/recipe_001/icons/env_recipe_001_icon.png
31735425	Advanced Gas Cylinder XL Schematic	none	0	0	resources_generated/elements/recipes/recipe_001/icons/env_recipe_001_icon.png
32593579	Laser s	object	508	120	resources_generated/elements/cannons/cannon-laser-tower_001_s/icons/env_cannon-laser-tower_001_s_icon.png
33032598	Uncommon Gas Cylinder XS Schematic	none	0	0	resources_generated/elements/recipes/recipe_001/icons/env_recipe_001_icon.png
33033950	Uncommon Gas Cylinder XL Schematic	none	0	0	resources_generated/elements/recipes/recipe_001/icons/env_recipe_001_icon.png
33298811	Basic Gas Cylinder XS Schematic	none	0	0	resources_generated/elements/recipes/recipe_001/icons/env_recipe_001_icon.png
33300267	Basic Gas Cylinder XL Schematic	none	0	0	resources_generated/elements/recipes/recipe_001/icons/env_recipe_001_icon.png
35741936	Stained gray pattern wood	worldMaterial	15	10	resources_generated/env/voxel/hc/wood-tile-hc/icons/env_wood-tile-hc_icon_gray-light.png
35741944	Aged gray pattern wood	worldMaterial	15	10	resources_generated/env/voxel/hc/wood-tile-hc/icons/env_wood-tile-hc_icon_gray-dark.png
36119774	Laser Precision Thermic Ammo l	object	12.7	250	resources_generated/elements/ammos/ammo-laser-thermic_001/icons/env_ammo-laser-thermic_001_icon.png
36246568	Canopy Windshield flat M Schematic	none	0	0	resources_generated/elements/recipes/recipe_001/icons/env_recipe_001_icon.png
37108572	Aileron M Schematic	none	0	0	resources_generated/elements/recipes/recipe_001/icons/env_recipe_001_icon.png
37528869	Iron Honeycomb	worldMaterial	78.5	10	
37591003	Quantum Cores	object	0	0	
37629188	Advanced Military Space Engine m	object	4092	562.4	resources_generated/elements/engines/engine-space-military_001_m/icons/env_engine-space-military_001_m_icon.png
37629189	Rare Military Space Engine m	object	4092	562.4	resources_generated/elements/engines/engine-space-military_001_m/icons/env_engine-space-military_001_m_icon.png
37629190	Exotic Military Space Engine m	object	4092	562.4	resources_generated/elements/engines/engine-space-military_001_m/icons/env_engine-space-military_001_m_icon.png
37971790	Painted Orange Titanium	worldMaterial	45	10	resources_generated/iconsLib/materialslib/env_titanium-painted-hc-orange_icon.png
38264863	Gray pattern concrete	worldMaterial	19.22	10	resources_generated/env/voxel/hc/concrete-tile-hc/icons/env_concrete-tile-hc_icon_gray.png
41301241	Yellow Steel Panel	worldMaterial	80.5	10	resources_generated/iconsLib/materialslib/env_steel-panel-hc-yellow_icon.png
42548536	Laser Agile Electromagnetic Ammo XS Schematic	none	0	0	resources_generated/elements/recipes/recipe_001/icons/env_recipe_001_icon.png
44734770	Missiles XS xs	object	400	0	
45414539	Painted White Fluorine	worldMaterial	16.96	10	resources_generated/iconsLib/materialslib/env_fluorine-painted-hc-white_icon.png
46065244	Laser Electromagnetic Ammo S Schematic	none	0	0	resources_generated/elements/recipes/recipe_001/icons/env_recipe_001_icon.png
46313663	Electronic Elements	object	400	0	
46389678	Radars	object	400	0	
47474508	Adjustor s	object	100	22.6	resources_generated/elements/adjusters/adjuster_001_s/icons/env_adjuster_001_s_icon.png
49245208	Cannon Defense Thermic Ammo M Schematic	none	0	0	resources_generated/elements/recipes/recipe_001/icons/env_recipe_001_icon.png
49251894	Missile Precision Kinetic Ammo S Schematic	none	0	0	resources_generated/elements/recipes/recipe_001/icons/env_recipe_001_icon.png
50110956	Painted Black Copper	worldMaterial	89.6	10	resources_generated/iconsLib/materialslib/env_copper-painted-hc-black_icon.png
50309297	Ammo Container l	object	12878.1	3962	resources_generated/elements/containers/container-military_001_xl/icons/env_container-military_001_xl_icon.png
50590628	Uncommon Military Flat Hover Engine l	object	1702	619.2	resources_generated/elements/engines/engine-hover-under_001_l/icons/env_engine-hover-under_001_l_icon.png
52472832	Magnets	none	0	0	
52497197	Cannon Defense Kinetic Ammo s	object	4.07	5	resources_generated/elements/ammos/ammo-cannon-heavy-kinetic_001/icons/env_ammo-cannon-heavy-kinetic_001_icon.png
53222213	Tundra	worldMaterial	1.25	1	resources_generated/env/voxel/worlds/moss-icelandic_001/icons/env_moss-icelandic_001_icon.png
56734776	Anti-Gravity Pulsor	none	0	0	
56745167	Basic Space Engine XS Schematic	none	0	0	resources_generated/elements/recipes/recipe_001/icons/env_recipe_001_icon.png
58593034	Painted Military Chromium	worldMaterial	71.9	10	resources_generated/iconsLib/materialslib/env_chromium-painted-hc-military_icon.png
59277728	Rock	worldMaterial	1.8	1	resources_generated/env/voxel/worlds/ground-gravel_001/icons/env_ground-gravel_001_icon.png
59483078	Painted Yellow Calcium	worldMaterial	15.5	10	resources_generated/iconsLib/materialslib/env_calcium-painted-hc-yellow_icon.png
60134030	Painted Dark Gray Steel	worldMaterial	80.5	10	resources_generated/iconsLib/materialslib/env_steel-painted-hc-darkgray_icon.png
60215904	Adjustor L Schematic	none	0	0	resources_generated/elements/recipes/recipe_001/icons/env_recipe_001_icon.png
61346072	Industry & Infrastructure Elements	object	400	0	
61946748	Painted Military Duralumin	worldMaterial	28	10	resources_generated/iconsLib/materialslib/env_duralumin-painted-hc-military_icon.png
63667997	Transponder	object	340	97	resources_generated/elements/transponders/transponder_001_s/icons/env_transponder_001_s_icon.png
65048663	Atmospheric Airbrake s	object	55.55	22.6	resources_generated/elements/flaps/flap-atmospheric_001/icons/env_flap-atmospheric_001_icon.png
67983365	Advanced Shield Generator M Schematic	none	0	0	resources_generated/elements/recipes/recipe_001/icons/env_recipe_001_icon.png
69091793	Thermic Ammo	none	0	0	
71197448	Rock	worldMaterial	2.5	1	resources_generated/env/voxel/worlds/rock-moss-icelandic_001/icons/env_rock-moss-icelandic_001_icon.png
71612303	Painted Dark Gray Grade 5 Titanium Alloy	worldMaterial	44.3	10	resources_generated/iconsLib/materialslib/env_grade5-titanium-alloy-painted-hc-darkgray_icon.png
72323201	Emergency Controller Schematic	none	0	0	resources_generated/elements/recipes/recipe_001/icons/env_recipe_001_icon.png
76876116	Transponder Schematic	none	0	0	resources_generated/elements/recipes/recipe_001/icons/env_recipe_001_icon.png
77420865	Signs	object	400	0	
77541910	Cannon Ammo	none	0	0	
79542399	Firework ring green	object	12.508	1	resources_generated/elements/fireworks/firework-ring-green_001/icons/env_firework-ring-green_001_icon.png
80734331	Rock	worldMaterial	2.5	1	resources_generated/env/voxel/worlds/rock-cracked-icelandic_001/icons/env_rock-cracked-icelandic_001_icon.png
81860438	Painted Military Gold	worldMaterial	140	10	resources_generated/iconsLib/materialslib/env_gold-painted-hc-military_icon.png
81964931	Tundra	worldMaterial	1.25	1	resources_generated/env/voxel/worlds/rock-rough-icelandic_001/icons/env_rock-rough-icelandic_001_icon.png
82139083	Black pattern aluminium	worldMaterial	27	10	resources_generated/env/voxel/hc/aluminium-tile-hc/icons/env_aluminium-tile-hc_icon_black.png
82404567	Obsidian Table m	object	70	24	resources_generated/elements/round-tables/round-table-obsidian_001/icons/env_round-table-obsidian_001_icon.png
83420134	White pattern plastic	worldMaterial	14	10	resources_generated/env/voxel/hc/plastic-tile-hc/icons/env_plastic-tile-hc_icon_white.png
83558495	Unidentified element	object	400	0	
84451865	Armored Window M Schematic	none	0	0	resources_generated/elements/recipes/recipe_001/icons/env_recipe_001_icon.png
85145277	Pebbles	worldMaterial	1.9	1	resources_generated/env/voxel/worlds/pebbles-beach-volcanic_001/icons/env_pebbles-beach-volcanic_001_icon.png
85154060	Spaceship Hologram m	object	15.98	13	resources_generated/elements/holograms/hologram-spaceship_002/icons/env_hologram-spaceship_002_icon.png
85796763	Basic Space Engine m	object	4092.06	562.4	resources_generated/elements/engines/engine-space_001_m/icons/env_engine-space_001_m_icon.png
86337730	Galvanized blue steel	worldMaterial	80.5	10	resources_generated/env/voxel/hc/steel-matt-hc/icons/env_steel-matt-hc_icon_blue.png
86892340	Rare Gravity-Inverted Container S Schematic	none	0	0	resources_generated/elements/recipes/recipe_001/icons/env_recipe_001_icon.png
86892412	Advanced Gravity-Inverted Container S Schematic	none	0	0	resources_generated/elements/recipes/recipe_001/icons/env_recipe_001_icon.png
86892533	Exotic Gravity-Inverted Container S Schematic	none	0	0	resources_generated/elements/recipes/recipe_001/icons/env_recipe_001_icon.png
87467619	Painted Military Silumin	worldMaterial	30	10	resources_generated/iconsLib/materialslib/env_silumin-painted-hc-military_icon.png
91914149	Laser M Schematic	none	0	0	resources_generated/elements/recipes/recipe_001/icons/env_recipe_001_icon.png
92440865	Polished light orange marble (cold)	worldMaterial	27	10	resources_generated/env/voxel/hc/marble-bright-hc/icons/env_marble-bright-hc_icon_orange-cold-light.png
92440889	Polished dark orange marble (cold)	worldMaterial	27	10	resources_generated/env/voxel/hc/marble-bright-hc/icons/env_marble-bright-hc_icon_orange-cold-dark.png
93081082	Laser Precision Electromagnetic Ammo S Schematic	none	0	0	resources_generated/elements/recipes/recipe_001/icons/env_recipe_001_icon.png
94421314	Matte dark blue marble (cold)	worldMaterial	27	10	resources_generated/env/voxel/hc/marble-matt-hc/icons/env_marble-matt-hc_icon_blue-cold-dark.png
94421322	Matte light blue marble (cold)	worldMaterial	27	10	resources_generated/env/voxel/hc/marble-matt-hc/icons/env_marble-matt-hc_icon_blue-cold-light.png
95528404	Atmospheric Fuel Tank S Schematic	none	0	0	resources_generated/elements/recipes/recipe_001/icons/env_recipe_001_icon.png
96831487	Firework sparks silver	object	12.508	1	resources_generated/elements/fireworks/firework-shower-silver_001/icons/env_firework-shower-silver_001_icon.png
99109453	Cannon Defense Thermic Ammo l	object	71.1	125	resources_generated/elements/ammos/ammo-cannon-heavy-thermic_001/icons/env_ammo-cannon-heavy-thermic_001_icon.png
99470466	Uncommon Freight Space Engine m	object	3478	562.4	resources_generated/elements/engines/engine-space-freight_001_m/icons/env_engine-space-freight_001_m_icon.png
104940408	Gray Nickel Panel	worldMaterial	89.1	10	resources_generated/iconsLib/materialslib/env_nickel-panel-hc-gray_icon.png
104971834	Atmospheric Airbrake l	object	1501.55	619.2	resources_generated/elements/airbrakes/airbrake_001_l/icons/env_airbrake_001_l_icon.png
105695198	Polished white Titanium	worldMaterial	45	10	resources_generated/env/voxel/hc/titanium-bright-hc/icons/env_titanium-bright-hc_icon_white.png
106455050	Xeron Fuel	material	0.8	1	resources_generated/iconsLib/materialslib/Xeron.png
107762545	Purple Carbon Panel	worldMaterial	22.7	10	resources_generated/iconsLib/materialslib/env_carbon-panel-hc-purple_icon.png
108090520	Polished black iron	worldMaterial	78.5	10	resources_generated/env/voxel/hc/iron-bright-hc/icons/env_iron-bright-hc_icon_black.png
108337911	Missile Kinetic Ammo s	object	2.87	15	resources_generated/elements/ammos/ammo-missile-kinetic_001/icons/env_ammo-missile-kinetic_001_icon.png
111253024	Exotic Precision Railgun m	object	4500	565	resources_generated/elements/cannons/cannon-railgun-precision_001/icons/env_cannon-railgun-precision_001_icon.png
111253038	Advanced Precision Railgun m	object	4500	565	resources_generated/elements/cannons/cannon-railgun-precision_001/icons/env_cannon-railgun-precision_001_icon.png
111253039	Rare Precision Railgun m	object	4500	565	resources_generated/elements/cannons/cannon-railgun-precision_001/icons/env_cannon-railgun-precision_001_icon.png
111565434	Exotic Chemical Container XL Schematic	none	0	0	resources_generated/elements/recipes/recipe_001/icons/env_recipe_001_icon.png
111565999	Exotic Chemical Container XS Schematic	none	0	0	resources_generated/elements/recipes/recipe_001/icons/env_recipe_001_icon.png
111823383	Rare Chemical Container XL Schematic	none	0	0	resources_generated/elements/recipes/recipe_001/icons/env_recipe_001_icon.png
111824090	Rare Chemical Container XS Schematic	none	0	0	resources_generated/elements/recipes/recipe_001/icons/env_recipe_001_icon.png
111875852	Rocket Fuels	material	6	0	
112304417	Basic Chemical Container XL Schematic	none	0	0	resources_generated/elements/recipes/recipe_001/icons/env_recipe_001_icon.png
112305895	Basic Chemical Container XS Schematic	none	0	0	resources_generated/elements/recipes/recipe_001/icons/env_recipe_001_icon.png
115447274	Uncommon Structural Parts	object	0	0	resources_generated/iconsLib/partslib/chassis.png
115447275	Basic Structural Parts	object	0	0	resources_generated/iconsLib/partslib/chassis.png
115447276	Rare Structural Parts	object	0	0	resources_generated/iconsLib/partslib/chassis.png
115447277	Advanced Structural Parts	object	0	0	resources_generated/iconsLib/partslib/chassis.png
115447279	Exotic Structural Parts	object	0	0	resources_generated/iconsLib/partslib/chassis.png
116711443	Missile Defense Antimatter Ammo s	object	2.12	15	resources_generated/elements/ammos/ammo-missile-antimatter_001/icons/env_ammo-missile-antimatter_001_icon.png
117748640	Painted Green Lithium	worldMaterial	5.3	10	resources_generated/iconsLib/materialslib/env_lithium-painted-hc-green_icon.png
118040005	Antimatter Ammo	none	0	0	
121560304	Stasis Weapon M Schematic	none	0	0	resources_generated/elements/recipes/recipe_001/icons/env_recipe_001_icon.png
121910001	Painted Black Nickel	worldMaterial	89.1	10	resources_generated/iconsLib/materialslib/env_nickel-painted-hc-black_icon.png
122883349	Stained blue pattern steel	worldMaterial	80.5	10	resources_generated/env/voxel/hc/steel-tile-hc/icons/env_steel-tile-hc_icon_blue-light.png
122883357	Aged blue pattern steel	worldMaterial	80.5	10	resources_generated/env/voxel/hc/steel-tile-hc/icons/env_steel-tile-hc_icon_blue-dark.png
122952709	Rare Anti-Gravity Core Schematic	none	0	0	resources_generated/elements/recipes/recipe_001/icons/env_recipe_001_icon.png
122952900	Advanced Anti-Gravity Core Schematic	none	0	0	resources_generated/elements/recipes/recipe_001/icons/env_recipe_001_icon.png
122953539	Exotic Anti-Gravity Core Schematic	none	0	0	resources_generated/elements/recipes/recipe_001/icons/env_recipe_001_icon.png
123175292	Rare Capacitor Shield Generator L Schematic	none	0	0	resources_generated/elements/recipes/recipe_001/icons/env_recipe_001_icon.png
123277277	Firework fireball green	object	12.508	1	resources_generated/elements/fireworks/firework-ball-green_001/icons/env_firework-ball-green_001_icon.png
123493466	Purple Aluminium Panel	worldMaterial	27	10	resources_generated/iconsLib/materialslib/env_aluminium-panel-hc-purple_icon.png
123586929	Black pattern steel	worldMaterial	80.5	10	resources_generated/env/voxel/hc/steel-tile-hc/icons/env_steel-tile-hc_icon_black.png
124823209	Spaceship Hologram s	object	13.39	12.5	resources_generated/elements/holograms/hologram-spaceship_001/icons/env_hologram-spaceship_001_icon.png
125299146	Painted Purple Stainless Steel	worldMaterial	77.5	10	resources_generated/iconsLib/materialslib/env_stainless-steel-painted-hc-purple_icon.png
127690540	Pure Fluorine Schematic	none	0	0	resources_generated/elements/recipes/recipe_001/icons/env_recipe_001_icon.png
127812851	Planet Elements	none	0	0	
128638317	Select Voxel tool	none	0	0	resources_generated/iconsLib/misclib/selecttool.png
128978965	Yellow Vanadium Panel	worldMaterial	60	10	resources_generated/iconsLib/materialslib/env_vanadium-panel-hc-yellow_icon.png
129249989	Orange Fluorine Panel	worldMaterial	16.96	10	resources_generated/iconsLib/materialslib/env_fluorine-panel-hc-orange_icon.png
129528989	Snow	worldMaterial	0.9	1	resources_generated/env/voxel/worlds/snow-chunky-wind_001/icons/env_snow-chunky-wind_001_icon.png
130764077	Advanced Chemical Container XS Schematic	none	0	0	resources_generated/elements/recipes/recipe_001/icons/env_recipe_001_icon.png
130764523	Advanced Chemical Container XL Schematic	none	0	0	resources_generated/elements/recipes/recipe_001/icons/env_recipe_001_icon.png
130796680	Uncommon Freight Space Engine xl	object	107303	17149	resources_generated/elements/engines/engine-space-freight_001_xl/icons/env_engine-space-freight_001_xl_icon.png
130824133	Painted Dark Gray Manganese	worldMaterial	72.1	10	resources_generated/iconsLib/materialslib/env_manganese-painted-hc-darkgray_icon.png
131024104	Uncommon Chemical Container XS Schematic	none	0	0	resources_generated/elements/recipes/recipe_001/icons/env_recipe_001_icon.png
131024558	Uncommon Chemical Container XL Schematic	none	0	0	resources_generated/elements/recipes/recipe_001/icons/env_recipe_001_icon.png
133772435	Beige pattern steel	worldMaterial	80.5	10	resources_generated/env/voxel/hc/steel-tile-hc/icons/env_steel-tile-hc_icon_beige.png
133911936	Missile S Schematic	none	0	0	resources_generated/elements/recipes/recipe_001/icons/env_recipe_001_icon.png
133985418	Helios System Hologram l	object	69.9	64	resources_generated/elements/holograms/hologram-solar-system_001/icons/env_hologram-solar-system_001_icon.png
134390788	Rare Defense Missile xs	object	207	40	resources_generated/elements/cannons/cannon-missile-launcher-defense_001_xs/icons/env_cannon-missile-launcher-defense_001_xs_icon.png
134390789	Exotic Defense Missile xs	object	207	40	resources_generated/elements/cannons/cannon-missile-launcher-defense_001_xs/icons/env_cannon-missile-launcher-defense_001_xs_icon.png
134390791	Advanced Defense Missile xs	object	207	40	resources_generated/elements/cannons/cannon-missile-launcher-defense_001_xs/icons/env_cannon-missile-launcher-defense_001_xs_icon.png
136029373	Stasis Ammo S Schematic	none	0	0	resources_generated/elements/recipes/recipe_001/icons/env_recipe_001_icon.png
136359048	Exotic Defense Missile s	object	593	125	resources_generated/elements/cannons/cannon-missile-launcher-defense_001_s/icons/env_cannon-missile-launcher-defense_001_s_icon.png
136359050	Advanced Defense Missile s	object	593	125	resources_generated/elements/cannons/cannon-missile-launcher-defense_001_s/icons/env_cannon-missile-launcher-defense_001_s_icon.png
136359051	Rare Defense Missile s	object	593	125	resources_generated/elements/cannons/cannon-missile-launcher-defense_001_s/icons/env_cannon-missile-launcher-defense_001_s_icon.png
137052592	Painted Light Gray Mangalloy	worldMaterial	78.33	10	resources_generated/iconsLib/materialslib/env_mangalloy-painted-hc-lightgray_icon.png
137599150	Soil	worldMaterial	1.5	1	resources_generated/env/voxel/worlds/soil-yellow-gravel-grey-sand-dry_001/icons/env_soil-yellow-gravel-grey-sand-dry_001_icon.png
137843762	Territory key	none	0	0	resources_generated/elements/keys/territory-key_001/icons/env_territory-key_001_icon.png
137961058	Functional Parts	object	0	0	
137983552	Polished dark red steel	worldMaterial	80.5	10	resources_generated/env/voxel/hc/steel-bright-hc/icons/env_steel-bright-hc_icon_red-dark.png
137983560	Polished light red steel	worldMaterial	80.5	10	resources_generated/env/voxel/hc/steel-bright-hc/icons/env_steel-bright-hc_icon_red-light.png
138191936	Rock	worldMaterial	2.6	1	resources_generated/env/voxel/worlds/ground-coal-mine-rock_001/icons/env_ground-coal-mine-rock_001_icon.png
138324199	Stained beige pattern plastic	worldMaterial	14	10	resources_generated/env/voxel/hc/plastic-tile-hc/icons/env_plastic-tile-hc_icon_beige-light.png
138324207	Aged beige pattern plastic	worldMaterial	14	10	resources_generated/env/voxel/hc/plastic-tile-hc/icons/env_plastic-tile-hc_icon_beige-dark.png
138596827	Mangalloy product Schematic	none	0	0	resources_generated/elements/recipes/recipe_001/icons/env_recipe_001_icon.png
139182237	Orange Silicon Panel	worldMaterial	23.3	10	resources_generated/iconsLib/materialslib/env_silicon-panel-hc-orange_icon.png
141653577	Uncommon Military Hover Engine s	object	56.91	22.6	resources_generated/elements/engines/engine-hover_001_s/icons/env_engine-hover_001_s_icon.png
142469171	Engines	object	400	0	
142635563	Painted Light Gray Lithium	worldMaterial	5.3	10	resources_generated/iconsLib/materialslib/env_lithium-painted-hc-lightgray_icon.png
143987030	Painted Light Gray Carbon	worldMaterial	22.7	10	resources_generated/iconsLib/materialslib/env_carbon-painted-hc-lightgray_icon.png
144252385	Missile Precision Antimatter Ammo m	object	6.43	75	resources_generated/elements/ammos/ammo-missile-antimatter_001/icons/env_ammo-missile-antimatter_001_icon.png
144457583	Dark Gray Nickel Panel	worldMaterial	89.1	10	resources_generated/iconsLib/materialslib/env_nickel-panel-hc-darkgray_icon.png
147467923	Cannon Defense Thermic Ammo xs	object	1.05	1	resources_generated/elements/ammos/ammo-cannon-heavy-thermic_001/icons/env_ammo-cannon-heavy-thermic_001_icon.png
147825707	Atmospheric Engines S	none	0	0	
148717720	Bay Window XL Schematic	none	0	0	resources_generated/elements/recipes/recipe_001/icons/env_recipe_001_icon.png
148948769	Uncommon Maneuver Hover Engine s	object	56.91	22.6	resources_generated/elements/engines/engine-hover_001_s/icons/env_engine-hover_001_s_icon.png
152909028	Matte dark orange marble (cold)	worldMaterial	27	10	resources_generated/env/voxel/hc/marble-matt-hc/icons/env_marble-matt-hc_icon_orange-cold-dark.png
152909036	Matte light orange marble (cold)	worldMaterial	27	10	resources_generated/env/voxel/hc/marble-matt-hc/icons/env_marble-matt-hc_icon_orange-cold-light.png
153605626	Factories	object	400	0	
154047614	Encampment Chair Schematic	none	0	0	resources_generated/elements/recipes/recipe_001/icons/env_recipe_001_icon.png
154196902	Laser Agile Thermic Ammo l	object	12.65	250	resources_generated/elements/ammos/ammo-laser-thermic_001/icons/env_ammo-laser-thermic_001_icon.png
155987084	Stasis Ammo l	object	95	500	resources_generated/elements/ammos/ammo-stasis_001/icons/env_ammo-stasis_001_icon.png
157903042		material	1000	0	resources_generated/iconsLib/materialslib/Debug4.png
157903044		material	1000	0	resources_generated/iconsLib/materialslib/Debug2.png
157903045		material	1000	0	resources_generated/iconsLib/materialslib/Debug3.png
157903047		material	1000	0	resources_generated/iconsLib/materialslib/Debug1.png
158347917	Exotic Maneuver Space Engine L Schematic	none	0	0	resources_generated/elements/recipes/recipe_001/icons/env_recipe_001_icon.png
158347980	Rare Maneuver Space Engine L Schematic	none	0	0	resources_generated/elements/recipes/recipe_001/icons/env_recipe_001_icon.png
158348042	Advanced Maneuver Space Engine L Schematic	none	0	0	resources_generated/elements/recipes/recipe_001/icons/env_recipe_001_icon.png
159858782	Pure Carbon	material	2.27	1	resources_generated/env/voxel/ingots/carbon-ingot/icons/env_carbon-ingot_icon.png
160111912	Painted Gray Steel	worldMaterial	80.5	10	resources_generated/iconsLib/materialslib/env_steel-painted-hc-gray_icon.png
165251186	Polished gray steel	worldMaterial	80.5	10	resources_generated/env/voxel/hc/steel-bright-hc/icons/env_steel-bright-hc_icon_gray.png
166137869	Exotic Freight Space Engine XS Schematic	none	0	0	resources_generated/elements/recipes/recipe_001/icons/env_recipe_001_icon.png
166137999	Advanced Freight Space Engine XS Schematic	none	0	0	resources_generated/elements/recipes/recipe_001/icons/env_recipe_001_icon.png
166138062	Rare Freight Space Engine XS Schematic	none	0	0	resources_generated/elements/recipes/recipe_001/icons/env_recipe_001_icon.png
166393561	Missile Defense Kinetic Ammo S Schematic	none	0	0	resources_generated/elements/recipes/recipe_001/icons/env_recipe_001_icon.png
